COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
United States,2022-02-18T00:00:00,64.9925,-8.9876,,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402685,,REGISTERED,DWS
United States,2022-02-16T00:00:00,67.9752,-12.7101,2022-02-17T02:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402684,,OPERATIONAL,DWS
United States,2022-02-14T00:00:00,68.0004,-18.8592,2022-02-22T20:47:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402683,,OPERATIONAL,DWS
United States,2022-02-13T00:00:00,67.592,-23.9366,2022-02-24T05:28:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402682,,OPERATIONAL,DWS
United States,2021-12-15T00:00:00,46.3333,-144.748,2022-03-16T20:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602506,,OPERATIONAL,DWS
United States,2021-08-30T00:00:00,14.8288,-61.7676,2021-11-28T12:43:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4102642,,CLOSED,DWS
United States,2021-08-16T00:00:00,65.003,-8.9898,2021-12-13T21:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402681,,CLOSED,DWS
United States,2021-08-07T00:00:00,66.2436,-27.7791,2021-12-13T21:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402680,,CLOSED,DWS
United States,2021-08-07T00:00:00,14.025,-62.89,2021-11-02T16:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4102640,,CLOSED,DWS
United States,2021-07-19T00:00:00,14.3339,-61.4352,2021-10-22T21:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4102644,,CLOSED,DWS
United States,2021-07-09T00:00:00,23.3589,-87.6629,2021-09-11T00:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4201706,,CLOSED,DWS
United States,2021-12-16T23:54:00,53.8279,-158.7071,2022-03-16T20:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602537,,OPERATIONAL,DWS
United States,2021-12-17T01:10:00,52.9843,-164.8748,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602749,,OPERATIONAL,DWS
United States,2021-12-16T22:18:00,54.3281,-152.4659,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602747,,OPERATIONAL,DWS
United States,2021-12-16T22:06:00,54.3179,-140.4612,2022-03-16T20:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602505,,OPERATIONAL,DWS
United States,2021-12-16T21:47:00,54.5337,-146.2574,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602748,,OPERATIONAL,DWS
United States,2021-12-15T23:06:00,40.0337,-149.9365,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602752,,OPERATIONAL,DWS
United States,2021-12-15T22:53:00,43.1742,-147.5529,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602753,,OPERATIONAL,DWS
United States,2021-12-15T20:53:00,49.4612,-141.6064,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602750,,OPERATIONAL,DWS
United States,2021-12-15T20:27:00,52.5041,-138.0079,2022-03-16T23:00:00,DWS-B,,"DBCP, Global Drifter Array",DBCP,SIO-DB,4602751,,OPERATIONAL,DWS
United States,2021-12-13T02:22:00,18.1221,-151.1542,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103547,,CLOSED,DWS
United States,2021-12-12T01:31:00,17.2021,-148.8465,2022-03-15T18:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103549,,OPERATIONAL,DWS
United States,2021-12-11T08:29:00,16.0984,-146.7558,2022-02-20T18:28:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103548,,OPERATIONAL,DWS
United States,2021-12-09T10:53:00,14.2998,-143.572,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103542,,CLOSED,DWS
United States,2021-11-26T00:40:00,18.6994,-130.1541,2021-11-29T21:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103553,,CLOSED,DWS
United States,2021-11-25T12:13:00,20.1626,-129.6477,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103545,,CLOSED,DWS
United States,2021-11-23T05:47:00,23.3967,-127.7522,2021-12-13T21:00:00,DWS-B,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,5103544,,CLOSED,DWS
