COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
United States,2018-06-18T07:59:00,48.06,-125.7,,SAILDRONE,,DBCP,DBCP,Saildrone,4803909,1027,CLOSED,Sailing Drone
United States,2018-07-22T00:00:00,48.13,-125.175,,SAILDRONE,,DBCP,DBCP,Saildrone,4803910,1028,CLOSED,Sailing Drone
United States,2018-07-22T11:59:00,70,-165.7,,SAILDRONE,,DBCP,DBCP,Saildrone,4803902,1020,CLOSED,Sailing Drone
United States,2018-07-23T01:00:00,70.1,-164.1,,SAILDRONE,,DBCP,DBCP,Saildrone,4803903,1021,CLOSED,Sailing Drone
United States,2018-07-21T00:04:00,71.47,-165.2,,SAILDRONE,,DBCP,DBCP,Saildrone,4803904,1022,CLOSED,Sailing Drone
United States,2018-07-20T00:04:00,69.5,-165.4,,SAILDRONE,,DBCP,DBCP,Saildrone,4803905,1023,CLOSED,Sailing Drone
United States,2018-07-22T00:06:00,39.8,-124.2,,SAILDRONE,,DBCP,DBCP,Saildrone,4803906,1024,CLOSED,Sailing Drone
United States,2018-07-23T00:03:00,39.6,-124.25,,SAILDRONE,,DBCP,DBCP,Saildrone,4803908,1026,CLOSED,Sailing Drone
United States,2018-10-01T00:00:00,1.298,-157.865,,SAILDRONE,,"DBCP, Tropical Pacific Observing System",DBCP,Saildrone,5801952,,CLOSED,Sailing Drone
United States,2018-10-01T00:00:00,1.298,-157.865,,SAILDRONE,,"DBCP, Tropical Pacific Observing System",DBCP,Saildrone,5801953,,CLOSED,Sailing Drone
United States,2018-10-01T00:00:00,1.298,-157.865,,SAILDRONE,,"DBCP, Tropical Pacific Observing System",DBCP,Saildrone,5801954,,CLOSED,Sailing Drone
United States,2018-10-01T00:00:00,1.298,-157.865,,SAILDRONE,,"DBCP, Tropical Pacific Observing System",DBCP,Saildrone,5801955,,CLOSED,Sailing Drone
United States,2019-04-26T00:19:00,54,-166,2019-07-01T09:50:00,SAILDRONE,1033,"DBCP, Unmanned Surface Vehicles",DBCP,Saildrone,4803911,,CLOSED,Sailing Drone
United States,2019-04-02T00:43:00,54,-166,2019-07-01T09:50:00,SAILDRONE,,"DBCP, Unmanned Surface Vehicles",DBCP,Saildrone,4803912,,CLOSED,Sailing Drone
United States,2019-04-10T00:50:00,54,-166,2019-07-01T09:50:00,SAILDRONE,,"DBCP, Unmanned Surface Vehicles",DBCP,Saildrone,4803913,,CLOSED,Sailing Drone
