COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
France,2015-01-22T10:01:09,43.653,7.293,,Slocum G1,himilcon,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6801501_004,098,CLOSED,Glider
France,2017-01-09T09:01:35,43.0187,5.7526,,Slocum G1,potame,OceanGliders,OceanGliders,Mediteranean Ocean Observing System for the Environment,6801503_004,070,CLOSED,Glider
France,2007-01-14T00:00:00,42.44,3.46,,Slocum,pytheas,OceanGliders,OceanGliders,Mediteranean Ocean Observing System for the Environment,6801504,000,CLOSED,Glider
France,2007-04-17T00:00:00,42.45,3.47,,Slocum G1,potame,OceanGliders,OceanGliders,Mediteranean Ocean Observing System for the Environment,6801503,070,CLOSED,Glider
France,2011-03-03T00:00:00,42.47,3.29,,Slocum G1,tenuse,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800953_011,173,CLOSED,Glider
France,2013-04-10T07:04:17,42.7058,3.0907,,Slocum G1,tenuse,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800953_010,173,CLOSED,Glider
France,2020-10-19T14:10:40,43.0228,5.8061,2020-11-16T22:56:00,Slocum G2,theque,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800453_001,246,CLOSED,Glider
France,2015-04-10T08:04:25,42.9474,6.2463,2015-05-18T05:47:30,Slocum G1,bonpland,"Boundary Ocean Observing Network, MOOSE, OceanGliders, Water Transformation",OceanGliders,Mediteranean Ocean Observing System for the Environment,1800956,unit142,CLOSED,Glider
France,2012-03-05T11:00:00,43.65,7.4,2012-04-24T05:49:40,Slocum G1,campe,"Boundary Ocean Observing Network, MOOSE, Ocean Health and Ecosystem, OceanGliders, Water Transformation",OceanGliders,Mediteranean Ocean Observing System for the Environment,TMP1634877885,176,CLOSED,Glider
France,2017-09-19T10:09:07,43.6481,7.3015,2017-11-11T10:54:47,Slocum G1,bonpland,"Boundary Ocean Observing Network, MOOSE, OceanGliders, OceanGliders Storms, Water Transformation",OceanGliders,Mediteranean Ocean Observing System for the Environment,TMP-1695071400,142,CLOSED,Glider
France,2015-09-08T07:09:21,43.0192,5.7469,,Slocum,tintin,"MOOSE, OceanGliders, PERSEUS",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_005,124,CLOSED,Glider
France,2010-07-12T00:00:00,43.66,7.31,,Slocum,tintin,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_003,124,CLOSED,Glider
France,2009-05-14T00:00:00,43.67,7.3,,Slocum G1,tintin,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_001,124,CLOSED,Glider
France,2008-12-11T00:00:00,43.7,7.31,,Slocum G1,tintin,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_020,124,CLOSED,Glider
France,2016-10-27T16:10:21,42.7837,6.0996,,Slocum G1,tintin,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_019,124,CLOSED,Glider
France,2016-09-01T10:09:09,43.6516,7.2981,,Slocum G1,tintin,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800954_015,124,CLOSED,Glider
France,2014-09-12T11:09:31,42.8423,5.6611,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_018,133,CLOSED,Glider
France,2013-01-24T14:01:27,42.9917,5.9966,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_017,133,CLOSED,Glider
France,2011-04-26T09:00:00,43.6605,7.3548,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_008,133,CLOSED,Glider
France,2011-08-11T00:00:00,42.9936,5.9779,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_005,133,CLOSED,Glider
France,2014-02-14T12:02:38,43.0377,5.9793,,Slocum G1,eudoxus,"MOOSE, OceanGliders, PERSEUS",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800950_008,136,CLOSED,Glider
France,2010-07-16T00:00:00,43.17,5.88,,Slocum,pytheas,OceanGliders,OceanGliders,Mediteranean Ocean Observing System for the Environment,6801504_003,000,CLOSED,Glider
France,2008-01-25T00:00:00,43.01,5.99,,Slocum,pytheas,OceanGliders,OceanGliders,Mediteranean Ocean Observing System for the Environment,6801504_001,000,CLOSED,Glider
France,2011-12-02T10:00:00,43.63,7.35,,Slocum,crate,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800451_006,245,CLOSED,Glider
France,2019-01-21T09:01:19,42.9822,5.9127,2019-03-18T17:44:35,Slocum G2,crate,"Boundary Ocean Observing Network, MOOSE, Ocean Health and Ecosystem, OceanGliders, Water Transformation",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800451_002,unit_245,CLOSED,Glider
France,2013-04-24T00:04:08,43.0383,5.8136,,Seaglider,baker,"OceanGliders, PERSEUS",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800456,SG509,CLOSED,Glider
France,2009-11-17T00:00:00,43.11,5.88,,Slocum G1,nearchos,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800952_002,127,CLOSED,Glider
France,2011-06-01T11:00:00,43.6706,7.319,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_009,133,CLOSED,Glider
France,2011-01-31T00:00:00,43.11,5.88,,Slocum G1,milou,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800951_007,133,CLOSED,Glider
France,2012-09-05T08:09:44,42.9916,5.988,,Slocum G1,eudoxus,"MOOSE, OceanGliders, PERSEUS",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800950_004,136,CLOSED,Glider
France,2011-08-09T18:00:00,42.988,5.9815,,Slocum G1,136,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,6800950_003,136,CLOSED,Glider
France,2015-10-26T10:10:32,43.6476,7.2827,,Slocum,campe,"MOOSE, OceanGliders",OceanGliders,Mediteranean Ocean Observing System for the Environment,5800970_004,176,CLOSED,Glider
France,2015-06-25T08:06:47,43.1091,5.8934,,Slocum G1,hannon,"MOOSE, OceanGliders, PERSEUS",OceanGliders,Mediteranean Ocean Observing System for the Environment,1800957_004,97,CLOSED,Glider
