COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
Australia,2013-04-26T00:00:00,-46.7771,141.9931,,Subsurface Mooring Custom,SOFS-4,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5800450_003,,CLOSED,Subsurface Mooring
Australia,2013-05-04T00:00:00,-46.7933,141.8232,,Subsurface Mooring Custom,SAZ47-16,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5801003_014,,CLOSED,Subsurface Mooring
Australia,2013-05-07T00:00:00,-46.9378,141.2846,,Subsurface Mooring Custom,PULSE-10,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,TMP1453570677,,CLOSED,Subsurface Mooring
Australia,2012-07-20T00:00:00,-46.6644,142.0627,,Subsurface Mooring Custom,SOFS-3,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5800450_002,,CLOSED,Subsurface Mooring
Australia,2012-07-16T00:00:00,-46.855,142.3721,,Subsurface Mooring Custom,PULSE-9,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,TMP-502617938,,CLOSED,Subsurface Mooring
Australia,2012-07-16T00:00:00,-46.8333,141.65,,Subsurface Mooring Custom,SAZ47-15,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5801003_013,SS2012_V03,CLOSED,Subsurface Mooring
Australia,2011-08-03T00:00:00,-46.93,142.25,,Subsurface Mooring Custom,PULSE-8,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,TMP-142259141,,CLOSED,Subsurface Mooring
Australia,2018-03-08T03:26:00,-46.792,141.7943,,Benthic Mooring Custom,SAZ47-20,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5801003_018,,CLOSED,Benthic Mooring
Australia,2017-03-21T03:11:00,-46.1094,142.3085,,Benthic Mooring Custom,SAZ47-19,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5801003_017,,CLOSED,Benthic Mooring
Australia,2017-03-20T10:09:00,-46.0265,142.129,,Subsurface Mooring Custom,SOFS-6,"IMOS, OceanSITES",OceanSITES,OS-CSIRO,5800450_006,,CLOSED,Subsurface Mooring
